Variable,Etiqueta,Codigo,Valor
edad_quinquenales,Edades quinquenales,1,0 - 4
edad_quinquenales,Edades quinquenales,2,5 - 9
edad_quinquenales,Edades quinquenales,3,10 - 14
edad_quinquenales,Edades quinquenales,4,15 - 19 
edad_quinquenales,Edades quinquenales,5,20 - 24 
edad_quinquenales,Edades quinquenales,6,25 - 29 
edad_quinquenales,Edades quinquenales,7,30 - 34 
edad_quinquenales,Edades quinquenales,8,35 - 39 
edad_quinquenales,Edades quinquenales,9,40 - 44 
edad_quinquenales,Edades quinquenales,10,45 - 49 
edad_quinquenales,Edades quinquenales,11,50 - 54 
edad_quinquenales,Edades quinquenales,12,55 - 59 
edad_quinquenales,Edades quinquenales,13,60 - 64 
edad_quinquenales,Edades quinquenales,14,65 - 69 
edad_quinquenales,Edades quinquenales,15,70 - 74 
edad_quinquenales,Edades quinquenales,16,75 - 79 
edad_quinquenales,Edades quinquenales,17,80 o más 
edad_quinquenales,Edades quinquenales,18,Ignorado 
mayor_menor,Mayor o menor,1,Mayor
mayor_menor,Mayor o menor,2,Menor
mayor_menor,Mayor o menor,9,Ignorado
tipo_veh,Tipo de vehículo,1,Automóvil
tipo_veh,Tipo de vehículo,2,Camioneta sport o blazer
tipo_veh,Tipo de vehículo,3,Pick up
tipo_veh,Tipo de vehículo,4,Motocicleta
tipo_veh,Tipo de vehículo,5,Camión
tipo_veh,Tipo de vehículo,6,Cabezal
tipo_veh,Tipo de vehículo,7,Bus extraurbano
tipo_veh,Tipo de vehículo,8,Jeep
tipo_veh,Tipo de vehículo,9,Microbús
tipo_veh,Tipo de vehículo,10,Taxi
tipo_veh,Tipo de vehículo,11,Panel
tipo_veh,Tipo de vehículo,12,Bus urbano
tipo_veh,Tipo de vehículo,13,Tractor
tipo_veh,Tipo de vehículo,14,Moto taxi
tipo_veh,Tipo de vehículo,15,Furgón
tipo_veh,Tipo de vehículo,16,Grúa
tipo_veh,Tipo de vehículo,17,Bus escolar
tipo_veh,Tipo de vehículo,18,Bicicleta
tipo_veh,Tipo de vehículo,19,Avioneta
tipo_veh,Tipo de vehículo,20,Montacargas
tipo_veh,Tipo de vehículo,21,Bus militar
